method, obj, restrictions,directeds,rejects,iter,changes, time,feasible,ranksnobs,ranksmean,ranksmin,ranksmax,ranksvar,control
1Lex,72779.0,0,3,5,3,48,0.280158996582,1,137,18.0583941606,1,139,988.790682696,234
1Lex,72698.0,0,3,5,4,51,0.281307935715,1,137,17.4087591241,1,139,972.728746243,235
1Lex,72833.5,0,3,5,5,47,0.282841920853,1,137,17.9489051095,1,139,977.225311292,236
1Lex,73183.5,0,3,5,6,66,0.281188964844,1,137,17.8686131387,1,139,984.820845857,237
1Lex,73040.0,0,3,5,7,49,0.280690908432,1,137,17.9343065693,1,139,985.694182052,238
1Lex,72800.5,0,3,5,8,53,0.282695055008,1,137,18.1897810219,1,139,991.904894805,239
1Lex,72698.5,0,3,5,9,65,0.28081703186,1,137,18.1751824818,1,139,976.336732503,240
1Lex,73119.5,0,4,0,0,36,0.27680015564,1,137,17.2919708029,1,139,988.07589094,241
1Lex,72679.5,0,4,0,1,45,0.282731771469,1,137,17.8467153285,1,139,980.468978102,242
1Lex,72895.5,0,4,0,2,59,0.282689809799,1,137,18.6131386861,1,139,1001.54776728,243
1Lex,72631.5,0,4,0,3,56,0.274449110031,1,137,17.5474452555,1,139,986.337805925,244
1Lex,72683.0,0,4,0,4,52,0.28153181076,1,137,18.0218978102,1,139,988.698046372,245
1Lex,73355.5,0,4,0,5,48,0.274746179581,1,137,17.3795620438,1,139,975.296049807,246
1Lex,72888.0,0,4,0,6,41,0.278791189194,1,137,18.7883211679,1,139,1009.44750966,247
1Lex,72815.5,0,4,0,7,58,0.278517961502,1,137,18.2773722628,1,139,990.451910691,248
1Lex,72765.5,0,4,0,8,53,0.275861978531,1,137,16.8321167883,1,139,869.699549163,249
1Lex,72688.0,0,4,0,9,43,0.277724981308,1,137,17.9197080292,1,139,990.633211679,250
1Lex,72856.0,0,4,1,0,52,0.276054859161,1,137,17.3722627737,1,139,979.000107342,251
1Lex,72844.5,0,4,1,1,66,0.280581951141,1,137,18.5255474453,1,139,988.707063117,252
1Lex,72806.0,0,4,1,2,55,0.277574062347,1,137,18.5766423358,1,139,994.937097467,253
1Lex,72843.0,0,4,1,3,53,0.280683040619,1,137,18.2189781022,1,139,1001.74581365,254
1Lex,73100.5,0,4,1,4,47,0.276864051819,1,137,17.8686131387,1,139,983.02672821,255
1Lex,73159.0,0,4,1,5,49,0.277791976929,1,137,18.3941605839,1,139,1011.04937742,256
1Lex,72701.0,0,4,1,6,56,0.276947975159,1,137,17.5620437956,1,139,965.483254616,257
1Lex,72770.0,0,4,1,7,60,0.275449037552,1,137,18.0,1,139,975.411764706,258
1Lex,72800.5,0,4,1,8,53,0.276327848434,1,137,18.897810219,1,139,1085.44536282,259
1Lex,72755.5,0,4,1,9,56,0.275943040848,1,137,17.9124087591,1,139,980.051094891,260
1Lex,72902.0,0,4,2,0,59,0.280050039291,1,137,17.8102189781,1,139,992.449012452,261
1Lex,72779.0,0,4,2,1,44,0.277923822403,1,137,17.1167883212,1,139,872.898024903,262
1Lex,72679.0,0,4,2,2,54,0.278190135956,1,137,18.2408759124,1,139,1081.65478746,263
1Lex,72681.0,0,4,2,3,46,0.275384902954,1,137,17.5620437956,1,139,995.395019322,264
1Lex,72709.0,0,4,2,4,45,0.280246019363,1,137,18.299270073,1,139,1007.19654358,265
1Lex,72981.5,0,4,2,5,56,0.274585962296,1,137,17.4306569343,1,139,890.835229712,266
1Lex,72849.5,0,4,2,6,39,0.280297994614,1,137,18.1240875912,1,139,1005.27125376,267
1Lex,73053.5,0,4,2,7,46,0.277044057846,1,137,17.7664233577,1,139,1002.72445255,268
1Lex,72809.0,0,4,2,8,62,0.27726483345,1,137,17.7226277372,1,139,968.201910691,269
1Lex,72770.5,0,4,2,9,56,0.278100013733,1,137,18.5182481752,1,139,992.913267497,270
1Lex,72861.5,0,4,3,0,61,0.281899929047,1,137,19.1167883212,1,139,1008.11861314,271
1Lex,72843.0,0,4,3,1,61,0.279633045197,1,137,18.3357664234,1,139,1008.72466724,272
